-0.103071954,1,-0.980908123,-0.898952526,-0.192369825,-0.999561879,0.472943436,0.85952487,0.790248477,-0.185361857,0.217762179,0.063902939,0.569334073,0.362366744,-0.045021046,1,-0.225010043,-0.246427128,-0.934669789,0.877788678,0.971913749,-1,-0.557928849,-0.11235684,-0.991821622,1,0.974851732,-0.317567193,0.624051526,-1,-0.640463371
-0.046552497,1,-0.984096395,-0.897336351,-0.22415839,-0.999634945,0.500243622,0.91351599,0.852314296,-0.134148499,0.258817769,0.034363413,0.563860907,0.378962472,-0.119903609,1,-0.222819609,-0.267708476,-0.936450372,0.830552498,0.976602118,-1,-0.494729756,-0.149650637,-0.998731437,1,0.998521525,-0.280784519,0.684289779,-1,-0.669668088
0.010650883,1,-0.986750647,-0.881722798,-0.255478619,-0.999693397,0.515602846,0.969046945,0.90531457,-0.079212626,0.307907932,0.012442546,0.567476966,0.390653267,-0.209654726,1,-0.219127135,-0.29583535,-0.928869522,0.788435335,0.980499266,-1,-0.43025894,-0.183012722,-1,1,1,-0.189914184,0.745786226,-1,-0.687783144
0.067092387,1,-0.988970834,-0.853205049,-0.283776298,-0.999744713,0.542163749,0.997232912,0.94778237,-0.020491962,0.349641874,-0.002055318,0.580481727,0.400001917,-0.371960191,1,-0.213357391,-0.323788036,-0.914352961,0.757728214,0.983729446,-1,-0.365341417,-0.20721151,-1,1,1,-0.122334573,0.809246782,-1,-0.689662096
0.122430879,1,-0.990792319,-0.836868582,-0.307252106,-0.999787261,0.568632828,1,0.984630474,0.033858551,0.391069811,-0.008807341,0.60219923,0.411853986,-0.468096862,1,-0.205092766,-0.349991524,-0.897200176,0.726340272,0.986443673,-1,-0.301266597,-0.223467465,-1,1,1,-0.063546888,0.874155391,-1,-0.653612441
0.175110059,1,-0.990847044,-0.835337444,-0.326379092,-0.999822604,0.596536769,1,1,0.080623764,0.393307144,-0.007226256,0.631434599,0.425483765,-0.546105184,1,-0.191799436,-0.372960572,-0.879298563,0.697095926,0.988715799,-1,-0.2430606,-0.230989497,-1,1,1,-0.003875856,0.936945198,-1,-0.65125364
0.221572402,1,-0.982974825,-0.804145172,-0.34256499,-0.999851014,0.611487408,1,1,0.121573242,0.427810966,0.003349902,0.638677359,0.439479296,-0.557127113,1,-0.172338692,-0.391588213,-0.86102614,0.669510329,0.990590889,-1,-0.196038596,-0.226067257,-1,1,1,0.064607132,0.986060898,-1,-0.621219199
0.262877624,1,-0.9670384,-0.783299439,-0.355782731,-0.999873716,0.642393379,1,1,0.155184214,0.469128442,0.026096411,0.690010918,0.454344064,-0.66473827,1,-0.148469338,-0.406317235,-0.840397814,0.648365697,0.99215935,-1,-0.16003796,-0.207584618,-1,1,1,0.136378994,1,-1,-0.583883634
0.298386095,1,-0.94651903,-0.781398716,-0.366917034,-0.999896349,0.677508609,1,1,0.180683044,0.535817328,0.061372323,0.736737728,0.471324383,-0.726519957,1,-0.120167376,-0.415537653,-0.81652477,0.632300619,0.993463672,-0.996132845,-0.130948861,-0.18290168,-1,1,1,0.206321149,1,-1,-0.551245909
0.328301475,1,-0.92355945,-0.74232235,-0.377703166,-0.999913205,0.708300372,1.012963847,1,0.197207255,0.57049098,0.108355745,0.779916854,0.490149115,-0.766741816,1,-0.08781173,-0.424470174,-0.7925351,0.621886457,0.994549473,-0.979472051,-0.108031429,-0.156278038,-1,1,1,0.276478033,1,-1,-0.524318135
0.351866867,1,-0.895400742,-0.737633311,-0.388297351,-0.999925303,0.736910925,1,1,0.204638265,0.574947566,0.165765958,0.820849868,0.505200125,-0.796193584,1,-0.052023077,-0.430309123,-0.765666137,0.615397377,0.995458968,-0.946761644,-0.10045522,-0.125023208,-1,1,1,0.341878085,1,-1,-0.504545778
