x1,x2,x3,x4,u,x_next1,x_next2,x_next3,x_next4
6762.524776647496,10190.18502409274,1.1684727170312133e-9,0.007554374995793407,5.811154876482895,4661.245344134704,16173.436296821697,1.186390928798151e-9,0.007681061329270952
4661.245344134704,16173.436296821697,1.186390928798151e-9,0.007681061329270952,-10.084744779700562,8377.406018143824,5591.045089972827,1.1911474840999816e-9,0.007714691390072222
8377.406018143824,5591.045089972827,1.1911474840999816e-9,0.007714691390072222,0.7109447303565092,8115.423558965866,6336.794381885854,1.2028845828127133e-9,0.007797675675609227
8115.423558965866,6336.794381885854,1.2028845828127133e-9,0.007797675675609227,5.923632474082802,5964.757323083435,12460.667805503588,1.2213671149713927e-9,0.007928351898382981
5964.757323083435,12460.667805503588,1.2213671149713927e-9,0.007928351898382981,12.84809883615712,1415.5429787306812,25414.393412485424,1.254117895146188e-9,0.00815990827872053
1415.5429787306812,25414.393412485424,1.254117895146188e-9,0.00815990827872053,-2.3924577305447006,2266.808882634612,22990.083392497174,1.2630197931378428e-9,0.00822284697105336
2266.808882634612,22990.083392497174,1.2630197931378428e-9,0.00822284697105336,-6.958484594966549,4774.895185191146,15847.81232628926,1.2693295088320504e-9,0.008267458272503645
4774.895185191146,15847.81232628926,1.2693295088320504e-9,0.008267458272503645,-7.125947505843212,7387.668788929345,8407.431943468693,1.2755505765319269e-9,0.00831144280999344
7387.668788929345,8407.431943468693,1.2755505765319269e-9,0.00831144280999344,1.8216541492569953,6724.157668412285,10296.560163391025,1.2884956259662225e-9,0.008402967615640761
6724.157668412285,10296.560163391025,1.2884956259662225e-9,0.008402967615640761,12.99135928043073,2100.324338431123,23462.798325383174,1.3202146161953969e-9,0.008627228977545127
2100.324338431123,23462.798325383174,1.3202146161953969e-9,0.008627228977545127,-3.1604957299822507,3230.9545343664936,20242.969222261632,1.3287397156640786e-9,0.008687503608086735
3230.9545343664936,20242.969222261632,1.3287397156640786e-9,0.008687503608086735,-3.8510557776854744,4616.996410493999,16295.8267961608,1.3369957812163532e-9,0.008745876100128482
4616.996410493999,16295.8267961608,1.3369957812163532e-9,0.008745876100128482,-9.056522427612864,7945.567082986292,6817.139225674622,1.3422538753733327e-9,0.008783052168727958
7945.567082986292,6817.139225674622,1.3422538753733327e-9,0.008783052168727958,1.5210336633309902,7391.119867533698,8395.699784229631,1.3549171504822623e-9,0.008872584757930225
7391.119867533698,8395.699784229631,1.3549171504822623e-9,0.008872584757930225,5.825098029360543,5279.174300389708,14409.321777239473,1.3729420549446862e-9,0.009000025436014027
5279.174300389708,14409.321777239473,1.3729420549446862e-9,0.009000025436014027,-5.792847170608649,7404.283870840383,8357.61593266459,1.3798157090185572e-9,0.00904862392583758
7404.283870840383,8357.61593266459,1.3798157090185572e-9,0.00904862392583758,-1.4152761060452352,7922.204721225915,6882.533549128163,1.3894721869270308e-9,0.009116897690900903
7922.204721225915,6882.533549128163,1.3894721869270308e-9,0.009116897690900903,-2.745756427111108,8947.52098788417,3962.6201005583453,1.3971722182759953e-9,0.009171338879114956
8947.52098788417,3962.6201005583453,1.3971722182759953e-9,0.009171338879114956,1.4346273038491246,8409.675424900215,5493.9330217449,1.408675277295393e-9,0.009252668444246692
8409.675424900215,5493.9330217449,1.408675277295393e-9,0.009252668444246692,17.383739648612234,2220.9742797281147,23116.05741977047,1.4524542753984998e-9,0.00956219714192828
2220.9742797281147,23116.05741977047,1.4524542753984998e-9,0.00956219714192828,-7.0085252829719265,4746.797818582721,15923.27798238662,1.458728940539038e-9,0.009606560627012263
4746.797818582721,15923.27798238662,1.458728940539038e-9,0.009606560627012263,-1.9857940406605004,5467.78814240821,13869.928153707458,1.4683552536747739e-9,0.00967462111942833
5467.78814240821,13869.928153707458,1.4683552536747739e-9,0.00967462111942833,4.984733598407628,3682.425831211396,18953.58792438546,1.4851977149354258e-9,0.009793701622081319
3682.425831211396,18953.58792438546,1.4851977149354258e-9,0.009793701622081319,7.15064713702684,1159.0954108725407,26138.583794124475,1.5074268698059707e-9,0.00995086742431
1159.0954108725407,26138.583794124475,1.5074268698059707e-9,0.00995086742431,-13.868878055609006,6201.158479862626,11780.533082652037,1.5109599096546185e-9,0.009975846918373193
6201.158479862626,11780.533082652037,1.5109599096546185e-9,0.009975846918373193,-1.2622320866489831,6662.742884514245,10465.86767939904,1.5209819570481494e-9,0.01004670535306183
6662.742884514245,10465.86767939904,1.5209819570481494e-9,0.01004670535306183,-4.7099396326771625,8395.138672772728,5532.462011233102,1.528112474334742e-9,0.010097119931401829
8395.138672772728,5532.462011233102,1.528112474334742e-9,0.010097119931401829,9.268405214797399,5044.299212185046,15073.8557068522,1.5523262078379968e-9,0.010268317211422254
5044.299212185046,15073.8557068522,1.5523262078379968e-9,0.010268317211422254,1.5178147083912856,4497.772691352249,16629.8585565531,1.5650913566522068e-9,0.010358570073739219
4497.772691352249,16629.8585565531,1.5650913566522068e-9,0.010358570073739219,-10.976767087586865,8545.892856817807,5102.175797116529,1.5694889310024243e-9,0.01038966204752937
